Title,Price,Rating,Link,Image,Review Availability,UPC,Tax
Sophie's World,£15.94,Five,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../sophies-world_966/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
The Death of Humanity: and the Case for Life,£58.11,Four,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
The Stranger,£17.44,Four,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../the-stranger_861/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/ea/04/ea0476a6f4c318ceccf5e2f2b39f2b15.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
Proofs of God: Classical Arguments from Tertullian to Barth,£54.21,One,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/3f/ef/3fef12d9da503693af12997c0ea0897f.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
Kierkegaard: A Christian Missionary to Christians,£47.13,One,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../kierkegaard-a-christian-missionary-to-christians_527/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/05/ce/05ce699eaf78c0fae20308497c4f496a.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",£29.93,Five,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/de/76/de76d5c473c358bd41c03cf710692bfb.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
Critique of Pure Reason,£20.75,One,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../critique-of-pure-reason_366/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/12/6e/126ef8f6473b81808ebbb9cff155e883.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
"Run, Spot, Run: The Ethics of Keeping Pets",£20.02,One,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../run-spot-run-the-ethics-of-keeping-pets_106/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/91/e6/91e6190dcdd7d6cdeb94a82b60917ec4.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
The Nicomachean Ethics,£36.34,One,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../the-nicomachean-ethics_75/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/f0/aa/f0aa9ae0319b1d6e0706e6053020e696.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
Meditations,£25.89,Two,https://books.toscrape.com/catalogue/category/books/philosophy_7/../../../meditations_33/index.html,https://books.toscrape.com/catalogue/category/books/philosophy_7///media/cache/df/c9/dfc9ed72e963572d23233b3a8cb01676.jpg,In stock,"[[...], [...], [...], [...], [...], [...], [...], [...], [...], [...]]",£0.00
